[03/16/2021 20:00:19] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:00:29] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 0.859 M
[03/16/2021 20:00:33] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 4.6, FR training L2 loss 58103.63, FR validation L2 loss 1869.20, FNR 94.40 %
[03/16/2021 20:06:31] {complexTrain.py:233} INFO - Epochs: 18 / 410, Time: 2.4, FR training L2 loss 69.09, FR validation L2 loss 56.93, FNR 94.15 %
[03/16/2021 20:06:34] {complexTrain.py:233} INFO - Epochs: 19 / 410, Time: 2.5, FR training L2 loss 57.66, FR validation L2 loss 58.82, FNR 92.80 %
[03/16/2021 20:06:36] {complexTrain.py:233} INFO - Epochs: 20 / 410, Time: 2.5, FR training L2 loss 59.62, FR validation L2 loss 55.28, FNR 92.91 %
[03/16/2021 20:06:39] {complexTrain.py:233} INFO - Epochs: 21 / 410, Time: 2.5, FR training L2 loss 56.49, FR validation L2 loss 105.95, FNR 95.23 %
[03/16/2021 20:06:41] {complexTrain.py:233} INFO - Epochs: 22 / 410, Time: 2.5, FR training L2 loss 56.66, FR validation L2 loss 53.78, FNR 93.42 %
[03/16/2021 20:06:43] {complexTrain.py:233} INFO - Epochs: 23 / 410, Time: 2.4, FR training L2 loss 54.80, FR validation L2 loss 53.02, FNR 91.22 %
[03/16/2021 20:06:46] {complexTrain.py:233} INFO - Epochs: 24 / 410, Time: 2.4, FR training L2 loss 57.27, FR validation L2 loss 53.50, FNR 91.93 %
[03/16/2021 20:06:48] {complexTrain.py:233} INFO - Epochs: 25 / 410, Time: 2.5, FR training L2 loss 54.23, FR validation L2 loss 53.01, FNR 93.26 %
[03/16/2021 20:06:51] {complexTrain.py:233} INFO - Epochs: 26 / 410, Time: 2.4, FR training L2 loss 54.06, FR validation L2 loss 56.41, FNR 91.89 %
[03/16/2021 20:06:53] {complexTrain.py:233} INFO - Epochs: 27 / 410, Time: 2.5, FR training L2 loss 58.60, FR validation L2 loss 52.12, FNR 90.57 %
[03/16/2021 20:06:56] {complexTrain.py:233} INFO - Epochs: 28 / 410, Time: 2.4, FR training L2 loss 52.68, FR validation L2 loss 51.43, FNR 87.03 %
[03/16/2021 20:06:58] {complexTrain.py:233} INFO - Epochs: 29 / 410, Time: 2.5, FR training L2 loss 52.47, FR validation L2 loss 50.88, FNR 85.98 %
[03/16/2021 20:07:01] {complexTrain.py:233} INFO - Epochs: 30 / 410, Time: 2.4, FR training L2 loss 51.34, FR validation L2 loss 50.31, FNR 84.18 %
[03/16/2021 20:07:03] {complexTrain.py:233} INFO - Epochs: 31 / 410, Time: 2.5, FR training L2 loss 50.88, FR validation L2 loss 50.30, FNR 84.57 %
[03/16/2021 20:07:06] {complexTrain.py:233} INFO - Epochs: 32 / 410, Time: 2.4, FR training L2 loss 49.93, FR validation L2 loss 48.75, FNR 85.30 %
[03/16/2021 20:07:08] {complexTrain.py:233} INFO - Epochs: 33 / 410, Time: 2.4, FR training L2 loss 48.85, FR validation L2 loss 49.22, FNR 78.74 %
[03/16/2021 20:07:10] {complexTrain.py:233} INFO - Epochs: 34 / 410, Time: 2.5, FR training L2 loss 48.37, FR validation L2 loss 48.45, FNR 76.65 %
[03/16/2021 20:07:13] {complexTrain.py:233} INFO - Epochs: 35 / 410, Time: 2.5, FR training L2 loss 47.32, FR validation L2 loss 47.32, FNR 73.95 %
[03/16/2021 20:07:15] {complexTrain.py:233} INFO - Epochs: 36 / 410, Time: 2.4, FR training L2 loss 46.02, FR validation L2 loss 45.87, FNR 62.73 %
[03/16/2021 20:07:18] {complexTrain.py:233} INFO - Epochs: 37 / 410, Time: 2.4, FR training L2 loss 45.10, FR validation L2 loss 44.43, FNR 66.52 %
[03/16/2021 20:07:20] {complexTrain.py:233} INFO - Epochs: 38 / 410, Time: 2.4, FR training L2 loss 42.67, FR validation L2 loss 43.89, FNR 64.87 %
[03/16/2021 20:07:23] {complexTrain.py:233} INFO - Epochs: 39 / 410, Time: 2.4, FR training L2 loss 40.65, FR validation L2 loss 43.03, FNR 64.36 %
[03/16/2021 20:07:25] {complexTrain.py:233} INFO - Epochs: 40 / 410, Time: 2.4, FR training L2 loss 39.10, FR validation L2 loss 47.11, FNR 62.36 %
[03/16/2021 20:07:28] {complexTrain.py:233} INFO - Epochs: 41 / 410, Time: 2.5, FR training L2 loss 37.34, FR validation L2 loss 43.03, FNR 63.92 %
[03/16/2021 20:07:30] {complexTrain.py:233} INFO - Epochs: 42 / 410, Time: 2.4, FR training L2 loss 35.06, FR validation L2 loss 43.58, FNR 63.25 %
[03/16/2021 20:07:32] {complexTrain.py:233} INFO - Epochs: 43 / 410, Time: 2.5, FR training L2 loss 34.62, FR validation L2 loss 43.49, FNR 61.89 %
[03/16/2021 20:07:35] {complexTrain.py:233} INFO - Epochs: 44 / 410, Time: 2.4, FR training L2 loss 31.90, FR validation L2 loss 43.67, FNR 60.92 %
[03/16/2021 20:07:37] {complexTrain.py:233} INFO - Epochs: 45 / 410, Time: 2.4, FR training L2 loss 30.36, FR validation L2 loss 45.47, FNR 59.97 %
[03/16/2021 20:07:40] {complexTrain.py:233} INFO - Epochs: 46 / 410, Time: 2.5, FR training L2 loss 29.34, FR validation L2 loss 44.80, FNR 60.46 %
[03/16/2021 20:07:42] {complexTrain.py:233} INFO - Epochs: 47 / 410, Time: 2.4, FR training L2 loss 28.22, FR validation L2 loss 45.40, FNR 62.01 %
[03/16/2021 20:07:45] {complexTrain.py:233} INFO - Epochs: 48 / 410, Time: 2.4, FR training L2 loss 23.87, FR validation L2 loss 45.70, FNR 58.70 %
[03/16/2021 20:07:47] {complexTrain.py:233} INFO - Epochs: 49 / 410, Time: 2.4, FR training L2 loss 22.66, FR validation L2 loss 46.43, FNR 57.63 %
[03/16/2021 20:07:50] {complexTrain.py:233} INFO - Epochs: 50 / 410, Time: 2.4, FR training L2 loss 21.89, FR validation L2 loss 46.98, FNR 58.26 %
[03/16/2021 20:07:52] {complexTrain.py:233} INFO - Epochs: 51 / 410, Time: 2.4, FR training L2 loss 21.06, FR validation L2 loss 47.68, FNR 56.69 %
[03/16/2021 20:07:54] {complexTrain.py:233} INFO - Epochs: 52 / 410, Time: 2.4, FR training L2 loss 21.66, FR validation L2 loss 47.49, FNR 58.21 %
[03/16/2021 20:07:57] {complexTrain.py:233} INFO - Epochs: 53 / 410, Time: 2.4, FR training L2 loss 20.88, FR validation L2 loss 47.80, FNR 56.80 %
[03/16/2021 20:07:59] {complexTrain.py:233} INFO - Epochs: 54 / 410, Time: 2.4, FR training L2 loss 20.06, FR validation L2 loss 47.11, FNR 55.22 %
[03/16/2021 20:08:02] {complexTrain.py:233} INFO - Epochs: 55 / 410, Time: 2.4, FR training L2 loss 19.73, FR validation L2 loss 47.54, FNR 55.91 %
[03/16/2021 20:08:04] {complexTrain.py:233} INFO - Epochs: 56 / 410, Time: 2.4, FR training L2 loss 18.49, FR validation L2 loss 48.10, FNR 55.15 %
[03/16/2021 20:08:07] {complexTrain.py:233} INFO - Epochs: 57 / 410, Time: 2.4, FR training L2 loss 18.51, FR validation L2 loss 47.42, FNR 54.96 %
[03/16/2021 20:08:09] {complexTrain.py:233} INFO - Epochs: 58 / 410, Time: 2.4, FR training L2 loss 19.06, FR validation L2 loss 48.05, FNR 54.77 %
[03/16/2021 20:08:11] {complexTrain.py:233} INFO - Epochs: 59 / 410, Time: 2.4, FR training L2 loss 17.36, FR validation L2 loss 47.95, FNR 54.79 %
[03/16/2021 20:08:14] {complexTrain.py:233} INFO - Epochs: 60 / 410, Time: 2.4, FR training L2 loss 17.62, FR validation L2 loss 48.08, FNR 54.42 %
[03/16/2021 20:08:16] {complexTrain.py:233} INFO - Epochs: 61 / 410, Time: 2.4, FR training L2 loss 18.26, FR validation L2 loss 48.12, FNR 54.52 %
[03/16/2021 20:08:19] {complexTrain.py:233} INFO - Epochs: 62 / 410, Time: 2.5, FR training L2 loss 18.25, FR validation L2 loss 48.13, FNR 55.12 %
[03/16/2021 20:08:21] {complexTrain.py:233} INFO - Epochs: 63 / 410, Time: 2.4, FR training L2 loss 18.03, FR validation L2 loss 47.98, FNR 54.66 %
[03/16/2021 20:08:24] {complexTrain.py:233} INFO - Epochs: 64 / 410, Time: 2.5, FR training L2 loss 18.08, FR validation L2 loss 48.03, FNR 53.67 %
[03/16/2021 20:08:26] {complexTrain.py:233} INFO - Epochs: 65 / 410, Time: 2.4, FR training L2 loss 17.95, FR validation L2 loss 48.22, FNR 53.70 %
[03/16/2021 20:08:29] {complexTrain.py:233} INFO - Epochs: 66 / 410, Time: 2.5, FR training L2 loss 17.60, FR validation L2 loss 48.26, FNR 53.58 %
[03/16/2021 20:08:31] {complexTrain.py:233} INFO - Epochs: 67 / 410, Time: 2.4, FR training L2 loss 16.53, FR validation L2 loss 48.01, FNR 53.80 %
[03/16/2021 20:08:33] {complexTrain.py:233} INFO - Epochs: 68 / 410, Time: 2.5, FR training L2 loss 16.73, FR validation L2 loss 48.71, FNR 53.39 %
[03/16/2021 20:08:36] {complexTrain.py:233} INFO - Epochs: 69 / 410, Time: 2.4, FR training L2 loss 16.17, FR validation L2 loss 48.27, FNR 53.42 %
[03/16/2021 20:08:38] {complexTrain.py:233} INFO - Epochs: 70 / 410, Time: 2.5, FR training L2 loss 16.31, FR validation L2 loss 48.71, FNR 53.20 %
[03/16/2021 20:08:41] {complexTrain.py:233} INFO - Epochs: 71 / 410, Time: 2.4, FR training L2 loss 17.52, FR validation L2 loss 48.59, FNR 53.28 %
[03/16/2021 20:08:43] {complexTrain.py:233} INFO - Epochs: 72 / 410, Time: 2.4, FR training L2 loss 17.00, FR validation L2 loss 48.13, FNR 52.84 %
[03/16/2021 20:08:46] {complexTrain.py:233} INFO - Epochs: 73 / 410, Time: 2.4, FR training L2 loss 16.96, FR validation L2 loss 48.22, FNR 53.27 %
[03/16/2021 20:08:48] {complexTrain.py:233} INFO - Epochs: 74 / 410, Time: 2.4, FR training L2 loss 16.69, FR validation L2 loss 48.19, FNR 53.00 %
[03/16/2021 20:08:51] {complexTrain.py:233} INFO - Epochs: 75 / 410, Time: 2.4, FR training L2 loss 16.78, FR validation L2 loss 48.64, FNR 53.20 %
[03/16/2021 20:08:53] {complexTrain.py:233} INFO - Epochs: 76 / 410, Time: 2.4, FR training L2 loss 17.08, FR validation L2 loss 48.30, FNR 52.69 %
[03/16/2021 20:08:55] {complexTrain.py:233} INFO - Epochs: 77 / 410, Time: 2.4, FR training L2 loss 16.16, FR validation L2 loss 48.53, FNR 52.35 %
[03/16/2021 20:08:58] {complexTrain.py:233} INFO - Epochs: 78 / 410, Time: 2.4, FR training L2 loss 17.69, FR validation L2 loss 48.33, FNR 52.96 %
[03/16/2021 20:09:00] {complexTrain.py:233} INFO - Epochs: 79 / 410, Time: 2.4, FR training L2 loss 17.08, FR validation L2 loss 48.25, FNR 52.42 %
[03/16/2021 20:09:03] {complexTrain.py:233} INFO - Epochs: 80 / 410, Time: 2.5, FR training L2 loss 17.10, FR validation L2 loss 48.23, FNR 52.54 %
[03/16/2021 20:09:05] {complexTrain.py:233} INFO - Epochs: 81 / 410, Time: 2.4, FR training L2 loss 16.68, FR validation L2 loss 48.35, FNR 52.56 %
[03/16/2021 20:09:08] {complexTrain.py:233} INFO - Epochs: 82 / 410, Time: 2.4, FR training L2 loss 16.61, FR validation L2 loss 48.38, FNR 52.39 %
[03/16/2021 20:09:10] {complexTrain.py:233} INFO - Epochs: 83 / 410, Time: 2.4, FR training L2 loss 17.53, FR validation L2 loss 48.20, FNR 52.39 %
[03/16/2021 20:09:12] {complexTrain.py:233} INFO - Epochs: 84 / 410, Time: 2.4, FR training L2 loss 16.44, FR validation L2 loss 48.25, FNR 52.60 %
[03/16/2021 20:09:15] {complexTrain.py:233} INFO - Epochs: 85 / 410, Time: 2.4, FR training L2 loss 17.90, FR validation L2 loss 48.30, FNR 52.39 %
[03/16/2021 20:09:17] {complexTrain.py:233} INFO - Epochs: 86 / 410, Time: 2.4, FR training L2 loss 16.41, FR validation L2 loss 48.56, FNR 52.52 %
[03/16/2021 20:09:20] {complexTrain.py:233} INFO - Epochs: 87 / 410, Time: 2.5, FR training L2 loss 17.22, FR validation L2 loss 48.45, FNR 52.60 %
[03/16/2021 20:09:22] {complexTrain.py:233} INFO - Epochs: 88 / 410, Time: 2.5, FR training L2 loss 16.39, FR validation L2 loss 48.47, FNR 52.36 %
[03/16/2021 20:09:25] {complexTrain.py:233} INFO - Epochs: 89 / 410, Time: 2.5, FR training L2 loss 16.16, FR validation L2 loss 48.14, FNR 52.42 %
[03/16/2021 20:09:27] {complexTrain.py:233} INFO - Epochs: 90 / 410, Time: 2.4, FR training L2 loss 15.97, FR validation L2 loss 48.44, FNR 52.43 %
[03/16/2021 20:09:30] {complexTrain.py:233} INFO - Epochs: 91 / 410, Time: 2.5, FR training L2 loss 16.35, FR validation L2 loss 48.58, FNR 52.46 %
[03/16/2021 20:09:32] {complexTrain.py:233} INFO - Epochs: 92 / 410, Time: 2.5, FR training L2 loss 15.57, FR validation L2 loss 48.25, FNR 52.62 %
[03/16/2021 20:09:35] {complexTrain.py:233} INFO - Epochs: 93 / 410, Time: 2.4, FR training L2 loss 15.86, FR validation L2 loss 48.40, FNR 52.56 %
[03/16/2021 20:09:37] {complexTrain.py:233} INFO - Epochs: 94 / 410, Time: 2.5, FR training L2 loss 15.71, FR validation L2 loss 48.55, FNR 52.49 %
[03/16/2021 20:09:40] {complexTrain.py:233} INFO - Epochs: 95 / 410, Time: 2.4, FR training L2 loss 16.70, FR validation L2 loss 48.58, FNR 52.33 %
[03/16/2021 20:09:42] {complexTrain.py:233} INFO - Epochs: 96 / 410, Time: 2.5, FR training L2 loss 16.22, FR validation L2 loss 48.63, FNR 52.37 %
[03/16/2021 20:09:44] {complexTrain.py:233} INFO - Epochs: 97 / 410, Time: 2.4, FR training L2 loss 16.28, FR validation L2 loss 48.35, FNR 52.33 %
[03/16/2021 20:09:47] {complexTrain.py:233} INFO - Epochs: 98 / 410, Time: 2.4, FR training L2 loss 16.19, FR validation L2 loss 48.48, FNR 52.61 %
[03/16/2021 20:09:49] {complexTrain.py:233} INFO - Epochs: 99 / 410, Time: 2.4, FR training L2 loss 16.69, FR validation L2 loss 48.68, FNR 52.31 %
[03/16/2021 20:09:52] {complexTrain.py:233} INFO - Epochs: 100 / 410, Time: 2.5, FR training L2 loss 15.45, FR validation L2 loss 48.41, FNR 52.49 %
[03/16/2021 20:09:54] {complexTrain.py:233} INFO - Epochs: 101 / 410, Time: 2.5, FR training L2 loss 16.79, FR validation L2 loss 48.57, FNR 52.36 %
[03/16/2021 20:09:57] {complexTrain.py:233} INFO - Epochs: 102 / 410, Time: 2.4, FR training L2 loss 16.02, FR validation L2 loss 48.38, FNR 52.54 %
[03/16/2021 20:09:59] {complexTrain.py:233} INFO - Epochs: 103 / 410, Time: 2.5, FR training L2 loss 16.50, FR validation L2 loss 48.65, FNR 52.22 %
[03/16/2021 20:10:02] {complexTrain.py:233} INFO - Epochs: 104 / 410, Time: 2.4, FR training L2 loss 16.23, FR validation L2 loss 48.51, FNR 52.33 %
[03/16/2021 20:10:04] {complexTrain.py:233} INFO - Epochs: 105 / 410, Time: 2.5, FR training L2 loss 16.99, FR validation L2 loss 48.39, FNR 52.35 %
[03/16/2021 20:10:06] {complexTrain.py:233} INFO - Epochs: 106 / 410, Time: 2.4, FR training L2 loss 16.98, FR validation L2 loss 48.61, FNR 52.25 %
[03/16/2021 20:10:09] {complexTrain.py:233} INFO - Epochs: 107 / 410, Time: 2.5, FR training L2 loss 17.89, FR validation L2 loss 48.70, FNR 52.22 %
[03/16/2021 20:10:11] {complexTrain.py:233} INFO - Epochs: 108 / 410, Time: 2.4, FR training L2 loss 15.95, FR validation L2 loss 48.31, FNR 52.43 %
[03/16/2021 20:10:14] {complexTrain.py:233} INFO - Epochs: 109 / 410, Time: 2.5, FR training L2 loss 15.02, FR validation L2 loss 47.94, FNR 52.45 %
[03/16/2021 20:10:16] {complexTrain.py:233} INFO - Epochs: 110 / 410, Time: 2.4, FR training L2 loss 16.71, FR validation L2 loss 48.43, FNR 52.47 %
[03/16/2021 20:10:19] {complexTrain.py:233} INFO - Epochs: 111 / 410, Time: 2.4, FR training L2 loss 16.08, FR validation L2 loss 48.35, FNR 52.38 %
[03/16/2021 20:10:21] {complexTrain.py:233} INFO - Epochs: 112 / 410, Time: 2.4, FR training L2 loss 17.08, FR validation L2 loss 48.57, FNR 52.30 %
[03/16/2021 20:10:24] {complexTrain.py:233} INFO - Epochs: 113 / 410, Time: 2.5, FR training L2 loss 16.66, FR validation L2 loss 48.43, FNR 52.40 %
[03/16/2021 20:10:26] {complexTrain.py:233} INFO - Epochs: 114 / 410, Time: 2.4, FR training L2 loss 16.50, FR validation L2 loss 48.35, FNR 52.35 %
[03/16/2021 20:10:29] {complexTrain.py:233} INFO - Epochs: 115 / 410, Time: 2.5, FR training L2 loss 16.81, FR validation L2 loss 48.53, FNR 52.30 %
[03/16/2021 20:10:31] {complexTrain.py:233} INFO - Epochs: 116 / 410, Time: 2.4, FR training L2 loss 16.33, FR validation L2 loss 48.49, FNR 52.38 %
[03/16/2021 20:10:33] {complexTrain.py:233} INFO - Epochs: 117 / 410, Time: 2.4, FR training L2 loss 15.49, FR validation L2 loss 48.08, FNR 52.37 %
[03/16/2021 20:10:36] {complexTrain.py:233} INFO - Epochs: 118 / 410, Time: 2.4, FR training L2 loss 16.93, FR validation L2 loss 48.48, FNR 52.27 %
[03/16/2021 20:10:38] {complexTrain.py:233} INFO - Epochs: 119 / 410, Time: 2.4, FR training L2 loss 16.59, FR validation L2 loss 48.42, FNR 52.38 %
[03/16/2021 20:10:41] {complexTrain.py:233} INFO - Epochs: 120 / 410, Time: 2.4, FR training L2 loss 15.66, FR validation L2 loss 48.52, FNR 52.35 %
[03/16/2021 20:10:43] {complexTrain.py:233} INFO - Epochs: 121 / 410, Time: 2.4, FR training L2 loss 16.60, FR validation L2 loss 48.52, FNR 52.31 %
[03/16/2021 20:10:46] {complexTrain.py:233} INFO - Epochs: 122 / 410, Time: 2.5, FR training L2 loss 16.03, FR validation L2 loss 48.40, FNR 52.44 %
[03/16/2021 20:10:48] {complexTrain.py:233} INFO - Epochs: 123 / 410, Time: 2.5, FR training L2 loss 15.70, FR validation L2 loss 48.29, FNR 52.39 %
[03/16/2021 20:10:51] {complexTrain.py:233} INFO - Epochs: 124 / 410, Time: 2.4, FR training L2 loss 16.10, FR validation L2 loss 48.47, FNR 52.40 %
[03/16/2021 20:10:53] {complexTrain.py:233} INFO - Epochs: 125 / 410, Time: 2.4, FR training L2 loss 16.27, FR validation L2 loss 48.50, FNR 52.48 %
[03/16/2021 20:10:55] {complexTrain.py:233} INFO - Epochs: 126 / 410, Time: 2.4, FR training L2 loss 16.28, FR validation L2 loss 48.47, FNR 52.35 %
[03/16/2021 20:10:58] {complexTrain.py:233} INFO - Epochs: 127 / 410, Time: 2.5, FR training L2 loss 16.27, FR validation L2 loss 48.32, FNR 52.39 %
[03/16/2021 20:11:00] {complexTrain.py:233} INFO - Epochs: 128 / 410, Time: 2.5, FR training L2 loss 15.81, FR validation L2 loss 48.27, FNR 52.54 %
[03/16/2021 20:11:03] {complexTrain.py:233} INFO - Epochs: 129 / 410, Time: 2.4, FR training L2 loss 16.38, FR validation L2 loss 48.41, FNR 52.33 %
[03/16/2021 20:11:05] {complexTrain.py:233} INFO - Epochs: 130 / 410, Time: 2.5, FR training L2 loss 16.38, FR validation L2 loss 48.31, FNR 52.53 %
[03/16/2021 20:11:08] {complexTrain.py:233} INFO - Epochs: 131 / 410, Time: 2.5, FR training L2 loss 16.99, FR validation L2 loss 48.89, FNR 52.19 %
[03/16/2021 20:11:10] {complexTrain.py:233} INFO - Epochs: 132 / 410, Time: 2.5, FR training L2 loss 16.58, FR validation L2 loss 48.68, FNR 52.35 %
[03/16/2021 20:11:13] {complexTrain.py:233} INFO - Epochs: 133 / 410, Time: 2.5, FR training L2 loss 16.93, FR validation L2 loss 48.61, FNR 52.22 %
[03/16/2021 20:11:15] {complexTrain.py:233} INFO - Epochs: 134 / 410, Time: 2.5, FR training L2 loss 17.45, FR validation L2 loss 48.92, FNR 52.12 %
[03/16/2021 20:11:18] {complexTrain.py:233} INFO - Epochs: 135 / 410, Time: 2.4, FR training L2 loss 17.17, FR validation L2 loss 48.66, FNR 52.20 %
[03/16/2021 20:13:40] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 50000                         
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:17:01] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 1.200 M
[03/16/2021 20:18:26] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 84.9, FR training L2 loss 297.37, FR validation L2 loss 41.37, FNR 61.76 %
[03/16/2021 20:19:49] {complexTrain.py:233} INFO - Epochs: 2 / 410, Time: 82.5, FR training L2 loss 35.03, FR validation L2 loss 33.14, FNR 39.79 %
[03/16/2021 20:21:11] {complexTrain.py:233} INFO - Epochs: 3 / 410, Time: 82.3, FR training L2 loss 31.30, FR validation L2 loss 32.60, FNR 34.81 %
[03/16/2021 20:22:33] {complexTrain.py:233} INFO - Epochs: 4 / 410, Time: 82.2, FR training L2 loss 30.23, FR validation L2 loss 31.00, FNR 32.56 %
[03/16/2021 20:23:55] {complexTrain.py:233} INFO - Epochs: 5 / 410, Time: 82.3, FR training L2 loss 29.44, FR validation L2 loss 30.43, FNR 29.89 %
[03/16/2021 20:25:18] {complexTrain.py:233} INFO - Epochs: 6 / 410, Time: 82.3, FR training L2 loss 28.77, FR validation L2 loss 30.19, FNR 28.93 %
[03/16/2021 20:25:28] {util.py:101} INFO - 
                     amplitude: uniform                       
                    batch_size: 64                            
                      distance: normal                        
               floor_amplitude: 0.1                           
                  fr_inner_dim: 256                           
                 fr_kernel_out: 25                            
                fr_kernel_size: 3                             
                fr_module_type: fr                            
                  fr_n_filters: 32                            
                   fr_n_layers: 24                            
                       fr_size: 4096                          
                 fr_upsampling: 16                            
                  gaussian_std: 0.12                          
                   kernel_type: gaussian                      
                         lr_fr: 0.003                         
                    max_n_freq: 10                            
                       min_sep: 0.5                           
                   n_epochs_fr: 410                           
                    n_training: 1000                          
                  n_validation: 1000                          
                       no_cuda: False                         
                         noise: gaussian_blind                
                    numpy_seed: 100                           
                    output_dir: ./checkpoint/skipfreq_snr_big8
               save_epoch_freq: 10                            
                    signal_dim: 64                            
                           snr: -10                           
                    torch_seed: 76                            
                triangle_slope: 4000                          
                      use_cuda: True                          
[03/16/2021 20:25:37] {complexTrain.py:324} INFO - [Network] Number of parameters in the frequency-representation module : 1.200 M
[03/16/2021 20:25:42] {complexTrain.py:233} INFO - Epochs: 1 / 410, Time: 4.7, FR training L2 loss 14693.94, FR validation L2 loss 870.37, FNR 94.88 %
[03/16/2021 20:25:44] {complexTrain.py:233} INFO - Epochs: 2 / 410, Time: 2.5, FR training L2 loss 1483.45, FR validation L2 loss 681.33, FNR 94.85 %
[03/16/2021 20:25:47] {complexTrain.py:233} INFO - Epochs: 3 / 410, Time: 2.5, FR training L2 loss 1138.32, FR validation L2 loss 525.08, FNR 95.04 %
[03/16/2021 20:25:49] {complexTrain.py:233} INFO - Epochs: 4 / 410, Time: 2.5, FR training L2 loss 691.00, FR validation L2 loss 539.46, FNR 94.81 %
[03/16/2021 20:25:52] {complexTrain.py:233} INFO - Epochs: 5 / 410, Time: 2.5, FR training L2 loss 662.11, FR validation L2 loss 1200.36, FNR 96.51 %
[03/16/2021 20:25:54] {complexTrain.py:233} INFO - Epochs: 6 / 410, Time: 2.5, FR training L2 loss 268.96, FR validation L2 loss 12056.56, FNR 96.64 %
[03/16/2021 20:25:57] {complexTrain.py:233} INFO - Epochs: 7 / 410, Time: 2.5, FR training L2 loss 170.95, FR validation L2 loss 94.73, FNR 94.81 %
[03/16/2021 20:25:59] {complexTrain.py:233} INFO - Epochs: 8 / 410, Time: 2.5, FR training L2 loss 127.75, FR validation L2 loss 177.38, FNR 95.92 %
[03/16/2021 20:26:02] {complexTrain.py:233} INFO - Epochs: 9 / 410, Time: 2.5, FR training L2 loss 85.65, FR validation L2 loss 58.64, FNR 95.39 %
[03/16/2021 20:26:04] {complexTrain.py:233} INFO - Epochs: 10 / 410, Time: 2.5, FR training L2 loss 65.06, FR validation L2 loss 63.59, FNR 95.91 %
[03/16/2021 20:26:07] {complexTrain.py:233} INFO - Epochs: 11 / 410, Time: 2.5, FR training L2 loss 89.77, FR validation L2 loss 150.85, FNR 95.14 %
[03/16/2021 20:26:09] {complexTrain.py:233} INFO - Epochs: 12 / 410, Time: 2.5, FR training L2 loss 55.49, FR validation L2 loss 53.67, FNR 95.58 %
[03/16/2021 20:26:12] {complexTrain.py:233} INFO - Epochs: 13 / 410, Time: 2.5, FR training L2 loss 59.48, FR validation L2 loss 53.05, FNR 95.30 %
[03/16/2021 20:26:14] {complexTrain.py:233} INFO - Epochs: 14 / 410, Time: 2.5, FR training L2 loss 59.44, FR validation L2 loss 63.86, FNR 95.19 %
[03/16/2021 20:26:17] {complexTrain.py:233} INFO - Epochs: 15 / 410, Time: 2.4, FR training L2 loss 56.42, FR validation L2 loss 57.60, FNR 92.41 %
[03/16/2021 20:26:19] {complexTrain.py:233} INFO - Epochs: 16 / 410, Time: 2.5, FR training L2 loss 56.56, FR validation L2 loss 52.55, FNR 94.46 %
[03/16/2021 20:26:22] {complexTrain.py:233} INFO - Epochs: 17 / 410, Time: 2.5, FR training L2 loss 89.46, FR validation L2 loss 53.45, FNR 94.69 %
[03/16/2021 20:26:24] {complexTrain.py:233} INFO - Epochs: 18 / 410, Time: 2.5, FR training L2 loss 53.62, FR validation L2 loss 52.16, FNR 93.91 %
[03/16/2021 20:26:27] {complexTrain.py:233} INFO - Epochs: 19 / 410, Time: 2.5, FR training L2 loss 66.94, FR validation L2 loss 81.65, FNR 93.69 %
